Year,France,Germany,Japan,UK,USA
11,13.3,13.4,10.2,21,38.1
12,14.1,14.2,11.6,22.3,39.4
14,15,15.1,12.3,24.4,41.8
16,16,16.2,14.1,26.4,44.1
18,17.2,17.4,15.7,27.5,46.8
20,17.7,18.7,16.7,29.4,49.2
22,18.7,19.7,18.7,30.3,52.7
24,19.5,20.4,21.1,31,55.4
26,20.3,22.5,23.3,33.2,60
28,22.2,24.7,26.8,35.4,64.9
30,23.6,32.7,30.1,36.9,65.8
32,24.7,34.6,32.2,37.5,69.4
34,26.3,37.3,35.3,38.7,74.2
36,28.6,39.7,38.2,41.5,78.7
38,30,41.3,37.2,40.4,78.1
40,30,40.9,37.9,40,78.6
42,32.4,44.3,40.2,40.7,82.6
44,34,45.7,41.5,41.5,85.7
46,36.2,48.3,43.3,42.2,87.8
48,38,50.1,45.1,43.9,88.9
50,38.9,50.1,44,41.7,89
52,38.9,50.4,43.9,40.8,90.3
54,39.5,50.2,43.4,40,86.7
56,41.6,51.5,45.7,40.4,88.5
58,43.2,53.9,47.8,40.8,93.4
60,45.3,55.7,49,42.5,94.5
62,47.8,56.6,48.9,43.8,94.6
64,49.7,58,51.7,45,97.9
66,50.5,58.7,54.2,46.5,101.8
68,52,59.2,57.4,47.2,103.8
70,53.3,57.4,60.7,47.8,105.4
72,56.4,57,62.4,48.8,109.5
74,57.6,56,62.7,48.7,108.1
76,57.7,55,63,49.4,110.5
78,58.3,54.5,67,48.9,112.3
80,59,55.3,68.6,50.5,114.2
82,61,56,70,52.8,116.1
84,60.7,56.4,71.4,53,116.4
86,62.5,56.9,71.6,53.5,118.9
88,63.5,57.7,73,54.5,120.7
90,64.9,58.9,74.5,55.4,124
92,66.4,60.3,73.1,55.8,121.3
94,65.7,61.8,74.3,55.7,123.1
96,67.9,62.3,73.6,56,123
98,69.6,63.1,75.7,56.3,123.6
100,69.8,63.3,76.8,57.4,125.7
102,70.2,63.9,77.3,56.9,124.8
104,69.8,64.1,79.4,56.2,127.1
106,70.8,63.9,75.7,56.1,125.6
