TF,bin,tags
Klf4,122639701,1
Klf4,122639726,0
Klf4,122639751,0
Klf4,122639776,0
Klf4,122639801,0
Klf4,122639826,0
Klf4,122639851,1
Klf4,122639876,1
Klf4,122639901,0
Klf4,122639926,0
Klf4,122639951,0
Klf4,122639976,0
Klf4,122640001,0
Klf4,122640026,0
Klf4,122640051,0
Klf4,122640076,0
Klf4,122640101,0
Klf4,122640126,0
Klf4,122640151,1
Klf4,122640176,2
Klf4,122640201,4
Klf4,122640226,5
Klf4,122640251,3
Klf4,122640276,4
Klf4,122640301,5
Klf4,122640326,3
Klf4,122640351,2
Klf4,122640376,0
Klf4,122640401,0
Klf4,122640426,0
Klf4,122640451,0
Klf4,122640476,3
Klf4,122640501,3
Klf4,122640526,0
Klf4,122640551,0
Klf4,122640576,0
Klf4,122640601,0
Klf4,122640626,0
Klf4,122640651,0
Klf4,122640676,0
Klf4,122640701,0
Klf4,122640726,0
Klf4,122640751,0
Klf4,122640776,0
Klf4,122640801,0
Klf4,122640826,0
Klf4,122640851,0
Klf4,122640876,1
Klf4,122640901,1
Klf4,122640926,0
Klf4,122640951,2
Klf4,122640976,2
Klf4,122641001,1
Klf4,122641026,1
Klf4,122641051,0
Klf4,122641076,0
Klf4,122641101,0
Klf4,122641126,0
Klf4,122641151,0
Klf4,122641176,0
Klf4,122641201,0
Klf4,122641226,0
Klf4,122641251,0
Klf4,122641276,1
Klf4,122641301,2
Klf4,122641326,1
Klf4,122641351,0
Klf4,122641376,0
Klf4,122641401,0
Klf4,122641426,0
Klf4,122641451,1
Klf4,122641476,1
Klf4,122641501,1
Klf4,122641526,0
Klf4,122641551,0
Klf4,122641576,0
Klf4,122641601,0
Klf4,122641626,0
Klf4,122641651,0
Klf4,122641676,0
Klf4,122641701,0
Klf4,122641726,0
Klf4,122641751,0
Klf4,122641776,1
Klf4,122641801,1
Klf4,122641826,0
Klf4,122641851,0
Klf4,122641876,0
Klf4,122641901,0
Klf4,122641926,1
Klf4,122641951,1
Klf4,122641976,0
Klf4,122642001,0
Klf4,122642026,0
Klf4,122642051,0
Klf4,122642076,0
Klf4,122642101,0
Klf4,122642126,1
Klf4,122642151,1
Klf4,122642176,0
Klf4,122642201,0
Klf4,122642226,0
Klf4,122642251,0
Klf4,122642276,0
Klf4,122642301,0
Klf4,122642326,0
Klf4,122642351,0
Klf4,122642376,0
Klf4,122642401,0
Klf4,122642426,0
Klf4,122642451,0
Klf4,122642476,0
Klf4,122642501,0
Klf4,122642526,0
Klf4,122642551,1
Klf4,122642576,1
Klf4,122642601,0
Klf4,122642626,0
Klf4,122642651,0
Klf4,122642676,0
Klf4,122642701,0
Klf4,122642726,0
Klf4,122642751,0
Klf4,122642776,0
Klf4,122642801,0
Klf4,122642826,0
Klf4,122642851,0
Klf4,122642876,0
Klf4,122642901,0
Klf4,122642926,0
Klf4,122642951,0
Klf4,122642976,0
Klf4,122643001,0
Klf4,122643026,0
Klf4,122643051,0
Klf4,122643076,0
Klf4,122643101,0
Klf4,122643126,1
Klf4,122643151,1
Klf4,122643176,0
Klf4,122643201,0
Klf4,122643226,0
Klf4,122643251,0
Klf4,122643276,0
Klf4,122643301,0
Klf4,122643326,1
Klf4,122643351,1
Klf4,122643376,0
Klf4,122643401,0
Klf4,122643426,0
Klf4,122643451,1
Klf4,122643476,2
Klf4,122643501,1
Klf4,122643526,0
Klf4,122643551,0
Klf4,122643576,0
Klf4,122643601,0
Klf4,122643626,0
Klf4,122643651,0
Klf4,122643676,0
Klf4,122643701,0
Klf4,122643726,0
Klf4,122643751,0
Klf4,122643776,0
Klf4,122643801,0
Klf4,122643826,0
Klf4,122643851,0
Klf4,122643876,0
Klf4,122643901,0
Klf4,122643926,0
Klf4,122643951,1
Klf4,122643976,1
Klf4,122644001,0
Klf4,122644026,1
Klf4,122644051,1
Klf4,122644076,0
Klf4,122644101,0
Klf4,122644126,0
Klf4,122644151,0
Klf4,122644176,0
Klf4,122644201,0
Klf4,122644226,0
Klf4,122644251,0
Klf4,122644276,0
Klf4,122644301,1
Klf4,122644326,1
Klf4,122644351,0
Klf4,122644376,0
Klf4,122644401,0
Klf4,122644426,0
Klf4,122644451,0
Klf4,122644476,0
Klf4,122644501,0
Klf4,122644526,0
Klf4,122644551,0
Klf4,122644576,0
Klf4,122644601,1
Klf4,122644626,1
Klf4,122644651,0
Klf4,122644676,0
Klf4,122644701,0
Klf4,122644726,1
Klf4,122644751,1
Klf4,122644776,0
Klf4,122644801,1
Klf4,122644826,1
Klf4,122644851,0
Klf4,122644876,0
Klf4,122644901,0
Klf4,122644926,1
Klf4,122644951,1
Klf4,122644976,0
Klf4,122645001,0
Klf4,122645026,0
Klf4,122645051,0
Klf4,122645076,1
Klf4,122645101,1
Klf4,122645126,0
Klf4,122645151,0
Klf4,122645176,1
Klf4,122645201,1
Klf4,122645226,0
Klf4,122645251,1
Klf4,122645276,1
Klf4,122645301,1
Klf4,122645326,2
Klf4,122645351,1
Klf4,122645376,0
Klf4,122645401,1
Klf4,122645426,1
Klf4,122645451,0
Klf4,122645476,1
Klf4,122645501,1
Klf4,122645526,2
Klf4,122645551,2
Klf4,122645576,1
Klf4,122645601,1
Klf4,122645626,0
Klf4,122645651,0
Klf4,122645676,1
Klf4,122645701,1
Klf4,122645726,0
Klf4,122645751,1
Klf4,122645776,2
Klf4,122645801,1
Klf4,122645826,0
Klf4,122645851,0
Klf4,122645876,0
Klf4,122645901,0
Klf4,122645926,1
Klf4,122645951,1
Klf4,122645976,0
Klf4,122646001,0
Klf4,122646026,0
Klf4,122646051,0
Klf4,122646076,0
Klf4,122646101,0
Klf4,122646126,0
Klf4,122646151,0
Klf4,122646176,0
Klf4,122646201,0
Klf4,122646226,0
Klf4,122646251,0
Klf4,122646276,0
Klf4,122646301,0
Klf4,122646326,0
Klf4,122646351,0
Klf4,122646376,0
Klf4,122646401,0
Klf4,122646426,0
Klf4,122646451,0
Klf4,122646476,0
Klf4,122646501,1
Klf4,122646526,1
Klf4,122646551,0
Klf4,122646576,0
Klf4,122646601,0
Klf4,122646626,0
Klf4,122646651,0
Klf4,122646676,0
Klf4,122646701,0
Klf4,122646726,0
Klf4,122646751,0
Klf4,122646776,0
Klf4,122646801,0
Klf4,122646826,0
Klf4,122646851,0
Klf4,122646876,0
Klf4,122646901,0
Klf4,122646926,0
Klf4,122646951,0
Klf4,122646976,0
Klf4,122647001,1
Klf4,122647026,1
Klf4,122647051,0
Klf4,122647076,0
Klf4,122647101,0
Klf4,122647126,0
Klf4,122647151,0
Klf4,122647176,0
Klf4,122647201,0
Klf4,122647226,0
Klf4,122647251,0
Klf4,122647276,0
Klf4,122647301,0
Klf4,122647326,0
Klf4,122647351,0
Klf4,122647376,0
Klf4,122647401,1
Klf4,122647426,1
Klf4,122647451,0
Klf4,122647476,0
Klf4,122647501,0
Klf4,122647526,0
Klf4,122647551,0
Klf4,122647576,0
Klf4,122647601,0
Klf4,122647626,0
Klf4,122647651,0
Klf4,122647676,0
Klf4,122647701,0
Klf4,122647726,0
Klf4,122647751,0
Klf4,122647776,0
Klf4,122647801,0
Klf4,122647826,0
Klf4,122647851,0
Klf4,122647876,0
Klf4,122647901,0
Klf4,122647926,1
Klf4,122647951,1
Klf4,122647976,0
Klf4,122648001,0
Klf4,122648026,0
Klf4,122648051,0
Klf4,122648076,0
Klf4,122648101,0
Klf4,122648126,0
Klf4,122648151,0
Klf4,122648176,0
Klf4,122648201,0
Klf4,122648226,0
Klf4,122648251,0
Klf4,122648276,0
Klf4,122648301,0
Klf4,122648326,0
Klf4,122648351,0
Klf4,122648376,0
Klf4,122648401,0
Klf4,122648426,0
Klf4,122648451,0
Klf4,122648476,0
Klf4,122648501,0
Klf4,122648526,0
Klf4,122648551,0
Klf4,122648576,0
Klf4,122648601,0
Klf4,122648626,0
Klf4,122648651,0
Klf4,122648676,0
Klf4,122648701,0
Klf4,122648726,0
Klf4,122648751,0
Klf4,122648776,0
Klf4,122648801,1
Klf4,122648826,4
Klf4,122648851,4
Klf4,122648876,0
Klf4,122648901,0
Klf4,122648926,0
Klf4,122648951,0
Klf4,122648976,0
Klf4,122649001,0
Klf4,122649026,0
Klf4,122649051,0
Klf4,122649076,1
Klf4,122649101,1
Klf4,122649126,0
Klf4,122649151,0
Klf4,122649176,0
Klf4,122649201,0
Klf4,122649226,0
Klf4,122649251,0
Klf4,122649276,0
Klf4,122649301,0
Klf4,122649326,0
Klf4,122649351,0
Klf4,122649376,0
Klf4,122649401,0
Klf4,122649426,0
Klf4,122649451,0
Klf4,122649476,0
Klf4,122649501,0
Klf4,122649526,0
Klf4,122649551,0
Klf4,122649576,0
Klf4,122649601,0
Klf4,122649626,0
Klf4,122649651,0
Klf4,122649676,0
Klf4,122649701,0
Klf4,122649726,0
Klf4,122649751,0
Klf4,122649776,0
Klf4,122649801,0
Klf4,122649826,0
Klf4,122649851,0
Klf4,122649876,2
Klf4,122649901,2
Klf4,122649926,0
Klf4,122649951,0
Klf4,122649976,0
Klf4,122650001,0
Klf4,122650026,0
Klf4,122650051,0
Klf4,122650076,0
Klf4,122650101,0
Klf4,122650126,0
Klf4,122650151,0
Klf4,122650176,0
Klf4,122650201,0
Klf4,122650226,0
Klf4,122650251,1
Klf4,122650276,1
Klf4,122650301,0
Klf4,122650326,0
Klf4,122650351,0
Klf4,122650376,0
Klf4,122650401,0
Klf4,122650426,0
Klf4,122650451,0
Klf4,122650476,0
Klf4,122650501,0
Klf4,122650526,0
Klf4,122650551,0
Klf4,122650576,0
Klf4,122650601,0
Klf4,122650626,0
Klf4,122650651,0
Klf4,122650676,0
Klf4,122650701,0
Klf4,122650726,0
Klf4,122650751,0
Klf4,122650776,0
Klf4,122650801,0
Klf4,122650826,0
Klf4,122650851,0
Klf4,122650876,0
Klf4,122650901,0
Klf4,122650926,0
Klf4,122650951,0
Klf4,122650976,0
Klf4,122651001,0
Klf4,122651026,0
Klf4,122651051,0
Klf4,122651076,0
Klf4,122651101,0
Klf4,122651126,0
Klf4,122651151,0
Klf4,122651176,0
Klf4,122651201,0
Klf4,122651226,0
Klf4,122651251,0
Klf4,122651276,0
Klf4,122651301,0
Klf4,122651326,0
Klf4,122651351,0
Klf4,122651376,0
Klf4,122651401,0
Klf4,122651426,0
Klf4,122651451,0
Klf4,122651476,0
Klf4,122651501,0
Klf4,122651526,0
Klf4,122651551,0
Klf4,122651576,0
Klf4,122651601,0
Klf4,122651626,0
Klf4,122651651,0
Klf4,122651676,0
Klf4,122651701,1
Klf4,122651726,1
Klf4,122651751,0
Klf4,122651776,0
Klf4,122651801,0
Klf4,122651826,0
Klf4,122651851,1
Klf4,122651876,1
Klf4,122651901,0
Klf4,122651926,0
Klf4,122651951,0
Klf4,122651976,0
Klf4,122652001,1
Klf4,122652026,1
Klf4,122652051,0
Klf4,122652076,0
Klf4,122652101,0
Klf4,122652126,0
Klf4,122652151,0
Klf4,122652176,0
Klf4,122652201,0
Klf4,122652226,0
Klf4,122652251,0
Klf4,122652276,1
Klf4,122652301,3
Klf4,122652326,2
Klf4,122652351,0
Klf4,122652376,0
Klf4,122652401,0
Klf4,122652426,1
Klf4,122652451,3
Klf4,122652476,3
Klf4,122652501,1
Klf4,122652526,5
Klf4,122652551,9
Klf4,122652576,8
Klf4,122652601,8
Klf4,122652626,8
Klf4,122652651,9
Klf4,122652676,10
Klf4,122652701,6
Klf4,122652726,1
Klf4,122652751,3
Klf4,122652776,4
Klf4,122652801,2
Klf4,122652826,3
Klf4,122652851,2
Klf4,122652876,1
Klf4,122652901,1
Klf4,122652926,2
Klf4,122652951,6
Klf4,122652976,5
Klf4,122653001,4
Klf4,122653026,5
Klf4,122653051,5
Klf4,122653076,6
Klf4,122653101,6
Klf4,122653126,6
Klf4,122653151,3
Klf4,122653176,1
Klf4,122653201,1
Klf4,122653226,2
Klf4,122653251,3
Klf4,122653276,1
Klf4,122653301,0
Klf4,122653326,0
Klf4,122653351,0
Klf4,122653376,1
Klf4,122653401,1
Klf4,122653426,0
Klf4,122653451,0
Klf4,122653476,1
Klf4,122653501,1
Klf4,122653526,0
Klf4,122653551,0
Klf4,122653576,0
Klf4,122653601,0
Klf4,122653626,1
Klf4,122653651,1
Klf4,122653676,0
Klf4,122653701,1
Klf4,122653726,1
Klf4,122653751,1
Klf4,122653776,1
Klf4,122653801,0
Klf4,122653826,0
Klf4,122653851,0
Klf4,122653876,0
Klf4,122653901,0
Klf4,122653926,1
Klf4,122653951,1
Klf4,122653976,1
Klf4,122654001,1
Klf4,122654026,0
Klf4,122654051,0
Klf4,122654076,0
Klf4,122654101,0
Klf4,122654126,0
Klf4,122654151,0
Klf4,122654176,0
Klf4,122654201,0
Klf4,122654226,1
Klf4,122654251,1
Klf4,122654276,0
Klf4,122654301,0
Klf4,122654326,0
Klf4,122654351,0
Klf4,122654376,0
Klf4,122654401,0
Klf4,122654426,0
Klf4,122654451,0
Klf4,122654476,0
Klf4,122654501,0
Klf4,122654526,0
Klf4,122654551,0
Klf4,122654576,0
Klf4,122654601,0
Klf4,122654626,0
Klf4,122654651,0
Klf4,122654676,0
