Location,Klf4,Sox2,Nanog,Tcfcp2l1,Esrrb
122639701,1,1,0,1,0
122639726,0,2,0,0,0
122639751,0,1,0,0,1
122639776,0,0,1,1,1
122639801,0,0,1,1,0
122639826,0,0,1,0,0
122639851,1,0,1,0,0
122639876,1,0,0,0,0
122639901,0,0,0,0,0
122639926,0,0,0,0,0
122639951,0,0,1,0,0
122639976,0,0,1,0,0
122640001,0,0,0,0,0
122640026,0,0,0,0,0
122640051,0,0,0,0,0
122640076,0,0,0,0,0
122640101,0,0,0,0,0
122640126,0,0,0,1,1
122640151,1,0,0,1,3
122640176,2,0,0,1,6
122640201,4,0,2,2,11
122640226,5,0,3,2,14
122640251,3,0,3,1,23
122640276,4,0,2,0,28
122640301,5,0,2,1,20
122640326,3,0,3,1,16
122640351,2,0,2,0,13
122640376,0,0,3,0,6
122640401,0,2,2,0,3
122640426,0,4,0,0,4
122640451,0,2,0,0,2
122640476,3,1,0,0,1
122640501,3,1,0,0,1
122640526,0,0,0,0,0
122640551,0,0,0,0,0
122640576,0,0,0,0,0
122640601,0,0,0,0,0
122640626,0,0,0,0,1
122640651,0,0,0,0,7
122640676,0,0,0,0,10
122640701,0,0,0,0,7
122640726,0,0,0,0,7
122640751,0,0,0,1,7
122640776,0,0,2,1,6
122640801,0,0,2,0,3
122640826,0,1,0,0,2
122640851,0,1,0,0,2
122640876,1,0,0,0,1
122640901,1,0,0,0,4
122640926,0,0,0,0,5
122640951,2,0,0,0,1
122640976,2,0,0,0,1
122641001,1,0,0,0,1
122641026,1,0,0,1,1
122641051,0,0,0,1,1
122641076,0,0,0,0,0
122641101,0,0,0,0,0
122641126,0,0,1,1,0
122641151,0,0,1,1,1
122641176,0,1,0,0,1
122641201,0,1,0,0,1
122641226,0,0,1,0,1
122641251,0,0,2,0,1
122641276,1,0,1,0,2
122641301,2,0,0,0,1
122641326,1,0,1,0,0
122641351,0,0,1,0,1
122641376,0,0,0,0,1
122641401,0,0,0,0,0
122641426,0,0,0,0,0
122641451,1,0,0,1,0
122641476,1,1,0,1,0
122641501,1,1,0,0,0
122641526,0,0,0,0,0
122641551,0,0,0,0,2
122641576,0,0,0,0,2
122641601,0,0,0,0,0
122641626,0,0,0,0,0
122641651,0,0,0,0,0
122641676,0,0,0,0,0
122641701,0,0,0,0,0
122641726,0,0,1,0,0
122641751,0,0,1,0,0
122641776,1,0,0,1,0
122641801,1,0,0,1,0
122641826,0,0,0,0,0
122641851,0,0,0,1,0
122641876,0,0,0,1,0
122641901,0,0,0,0,0
122641926,1,0,0,0,0
122641951,1,0,0,0,0
122641976,0,0,0,0,0
122642001,0,0,0,0,1
122642026,0,0,1,0,1
122642051,0,1,1,0,0
122642076,0,1,1,0,0
122642101,0,0,1,0,0
122642126,1,0,0,0,0
122642151,1,0,0,0,0
122642176,0,0,0,0,0
122642201,0,0,0,0,0
122642226,0,0,0,0,0
122642251,0,0,0,0,0
122642276,0,0,0,0,0
122642301,0,0,0,0,0
